internalField   nonuniform List<vector>
1280
(
(781531 -6.37968e+06 -395627)
(300876 -6.17644e+06 -454141)
(378283 -6.23561e+06 -452715)
(462483 -6.2801e+06 -459914)
(547558 -6.31759e+06 -465521)
(637485 -6.35156e+06 -458499)
(721461 -6.3767e+06 -435737)
(798718 -6.38175e+06 -393452)
(316863 -6.1834e+06 -463497)
(395730 -6.24218e+06 -462123)
(481794 -6.28676e+06 -468783)
(568863 -6.3247e+06 -472662)
(660429 -6.35893e+06 -462839)
(745242 -6.3833e+06 -436662)
(278807 -6.12742e+06 -499830)
(340137 -6.18824e+06 -497493)
(401793 -6.23076e+06 -506354)
(461354 -6.26527e+06 -516706)
(524188 -6.29493e+06 -515321)
(585690 -6.31263e+06 -493113)
(640535 -6.30962e+06 -449485)
(298916 -6.1355e+06 -512708)
(360851 -6.19526e+06 -510908)
(423333 -6.23753e+06 -519760)
(484438 -6.27264e+06 -528244)
(549216 -6.30273e+06 -522862)
(612225 -6.31993e+06 -495326)
(667392 -6.31481e+06 -446916)
(309348 -6.14017e+06 -519428)
(371625 -6.19929e+06 -517925)
(434689 -6.24146e+06 -526728)
(496704 -6.27693e+06 -534085)
(562473 -6.30722e+06 -526444)
(625941 -6.32399e+06 -496104)
(324209 -6.14711e+06 -529026)
(386897 -6.20532e+06 -527908)
(450748 -6.24742e+06 -536528)
(514043 -6.28343e+06 -542161)
(581210 -6.31399e+06 -531214)
(645345 -6.33013e+06 -496875)
(294628 -6.10173e+06 -552816)
(347889 -6.16324e+06 -549177)
(399505 -6.20516e+06 -555409)
(445874 -6.23667e+06 -564790)
(493335 -6.26155e+06 -565175)
(542474 -6.26895e+06 -541800)
(314190 -6.10947e+06 -565094)
(367659 -6.16969e+06 -561926)
(419262 -6.21087e+06 -568565)
(465998 -6.24261e+06 -576702)
(515256 -6.2674e+06 -573392)
(566315 -6.27316e+06 -543892)
(324242 -6.11405e+06 -571794)
(377812 -6.17347e+06 -568899)
(429468 -6.21427e+06 -575734)
(476552 -6.24622e+06 -583077)
(526778 -6.27084e+06 -577589)
(578510 -6.27559e+06 -544737)
(338427 -6.12081e+06 -581237)
(392073 -6.17907e+06 -578721)
(443739 -6.21939e+06 -585740)
(491382 -6.25168e+06 -591833)
(542994 -6.27604e+06 -583104)
